attribute,group,n,prevalence,selection_rate,roc_auc,precision,recall_tpr,false_positive_rate
Sex,Female,19235,0.1429165583571614,0.433116714322849,0.8216596424705429,0.27979834353619015,0.8479447071662423,0.36394516559505036
Sex,Male,15187,0.1656680055310463,0.48897083031540134,0.8027375487433657,0.29100457850794503,0.8589030206677265,0.4155157446136848
Age band,18–44,7253,0.04756652419688405,0.0988556459396112,0.8506723983115564,0.24686192468619247,0.5130434782608696,0.0781702374059062
Age band,45–64,14508,0.1534325889164599,0.43631100082712987,0.8185335905999371,0.29510268562401265,0.839173405211141,0.36329588014981273
Age band,65+,12661,0.21277940131111286,0.6879393412842587,0.744766135820591,0.2809414466130884,0.9083147735708983,0.6283736329888633
Income band,Higher income codes 5–8,25747,0.127587680118072,0.4003573231832835,0.8181809847092338,0.26232052774544046,0.8231354642313546,0.338527290535126
Income band,Lower income codes 1–4,8675,0.2282420749279539,0.6281268011527378,0.7741363221460309,0.3281336024958708,0.9030303030303031,0.5468259895444362
