model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
RandomForest,48.510119358698525,1.9569303309740782,1.4674241542816162,0.12098174725483325,10,sqrt,3,120,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 120}",0.41842572440444614,0.42511604304496664,0.428597023840146,0.42404626376318627,0.0042207545799664665,1,0.48375798629303834,0.47899317860896296,0.47869554901091316,0.4804822379709715,0.002319488614120464
RandomForest,69.09245411554973,1.584233620182476,2.5091234842936196,0.11073242381545091,14,sqrt,2,180,"{'model__max_depth': 14, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 180}",0.40721732203353894,0.4158723039403108,0.4223180378120204,0.4151358879286233,0.0061867943052021,2,0.6457308775505815,0.6376582654900694,0.6409872181750125,0.6414587870718879,0.00331245621739681
RandomForest,131.1355644861857,0.9592291344954134,2.105947812398275,0.11954630212263498,,0.7,5,180,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 5, 'model__n_estimators': 180}",0.3937316643537573,0.3991011913414352,0.4017965097099533,0.3982097884683819,0.0033522511805655587,4,0.887847481836024,0.8887382301768461,0.8876270538168661,0.8880709219432453,0.0004803625969902918
RandomForest,153.37573011716208,2.298899954403865,1.9165596167246501,0.13085922440168413,18,0.7,5,240,"{'model__max_depth': 18, 'model__max_features': 0.7, 'model__min_samples_leaf': 5, 'model__n_estimators': 240}",0.39694107452494254,0.4045768844450751,0.4104593859242355,0.4039924482980844,0.005534278632878024,3,0.8041694541249407,0.7956620628844421,0.8081330464807416,0.8026548544967081,0.0052026830892130055
