model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__estimator__max_depth,param_model__learning_rate,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
AdaBoost,50.5749314626058,1.0807773734944899,2.4616995652516684,0.2312771478754301,1,0.05,80,"{'model__estimator__max_depth': 1, 'model__learning_rate': 0.05, 'model__n_estimators': 80}",0.3880911239381014,0.40458446216572674,0.39225413676478305,0.39497657428953703,0.007003156480228677,4,0.3982614989965281,0.3923154839080432,0.3955852852928876,0.3953874227324863,0.0024314791181129255
AdaBoost,111.27992701530457,0.8200847754815205,1.1439631779988606,0.11196112669574307,2,0.05,140,"{'model__estimator__max_depth': 2, 'model__learning_rate': 0.05, 'model__n_estimators': 140}",0.4022876774876859,0.41440089501002986,0.4069910045469838,0.4078931923482332,0.004986178684286365,2,0.41133458659202227,0.4078645119735132,0.4095615274080567,0.4095868753245307,0.0014167654127524411
AdaBoost,97.54485909144084,0.8540220312172869,1.4100853602091472,0.06366312446579961,2,0.1,100,"{'model__estimator__max_depth': 2, 'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.40340800733699783,0.4168576006749851,0.40703152565462075,0.40909904455553453,0.00568206922658374,1,0.4146064039001015,0.41072973506754085,0.41088828578195735,0.4120748082498666,0.001791278311611913
AdaBoost,87.30459475517273,0.4599398223374026,2.800985336303711,0.1559313441435265,1,0.1,160,"{'model__estimator__max_depth': 1, 'model__learning_rate': 0.1, 'model__n_estimators': 160}",0.39879673129071935,0.41245897909151064,0.40015562825241535,0.4038037795448817,0.006145242584422518,3,0.4088189144820655,0.4035983651824828,0.40414563253555724,0.4055209707333685,0.0023426765484679136
